,name,rating,review-count,company-type,salary
74,UnitedHealth Group,3.7,15.8T,Healthcare Services & Hospitals,1.8T
75,Deutsche Bank,4.0,11.7T,Banking & Lending,3T
76,Tata Consultancy Services (North America),3.8,8.8T,Information Technology Support Services,5.1T
77,Schneider Electric,4.2,13.4T,Energy & Utilities,2.8T
78,Philips,4.0,11T,Healthcare Services & Hospitals,2.4T
79,Cognizant,3.8,6.6T,N/A,6.8T
80,TCS,3.9,6.7T,N/A,7.3T
81,Samsung Electronics,3.8,13.6T,Electronics Manufacturing,3.2T
82,Credit Suisse,4.0,11.4T,Investment & Asset Management,2.8T
83,BNY Mellon,3.6,10.8T,Investment & Asset Management,3.2T
84,Lowe's Home Improvement,4.3,38.8T,Home Furniture & Housewares Stores,973
85,NatWest Group,4.0,8.7T,Banking & Lending,3.8T
86,Zensar Technologies,3.9,4.2T,Information Technology Support Services,3.2T
87,Société Générale,3.7,10.8T,Investment & Asset Management,2.6T
88,Persistent Systems,4.0,5.7T,Information Technology Support Services,5.5T
89,McKinsey & Company,4.3,9.8T,Business Consulting,1.5T
90,Sutherland,3.8,8.6T,HR Consulting,3.3T
91,Hexaware Technologies,3.8,5T,Information Technology Support Services,4.2T
92,Axis Bank,3.8,6.4T,Banking & Lending,6.5T
93,Reliance Industries,3.9,6.1T,Energy & Utilities,6.4T
94,Unilever,4.1,14.7T,Consumer Product Manufacturing,1.6T
95,BNP Paribas,3.8,13.2T,Banking & Lending,1.9T
96,UBS,4.0,13T,Investment & Asset Management,1.7T
97,Jio,3.8,5.3T,"Cable, Internet & Telephone Providers",6.1T
98,Flipkart,4.1,4.9T,Internet & Web Services,6.6T
99,GlobalLogic,4.0,6.2T,Information Technology Support Services,4.2T
